bucket,signalName,category,horizon,sampleSize,winRate,avgReturn,medianReturn,profitFactor,readyStatus,contributingTickerCount,dominantTicker,dominantTickerSamplePct,missingPriceRows,selectionReason,notes
Not Ready,flow20D percentile >= 80,Strong inflow percentile,20D,29,0.7931034482758621,0.25200213199594346,0.14140292891237527,57.26979847444188,Not Ready,5,SMH,0.4482758620689655,91,Insufficient sample size,['sampleSize < 30']
Watch,flow20D percentile >= 90,Strong inflow percentile,1D,64,0.46875,-0.0013340525411431412,-0.0008026624251473713,0.9365223287448362,Watch,9,SOXL,0.125,0,Sample size below usable threshold,['30 <= sampleSize < 80']
Watch,flow20D percentile >= 90,Strong inflow percentile,3D,57,0.42105263157894735,-0.0028502567339251635,-0.006421883127498362,0.9191150813935635,Watch,9,GOOGL,0.12280701754385964,7,Sample size below usable threshold,['30 <= sampleSize < 80']
Watch,flow20D percentile >= 90,Strong inflow percentile,5D,49,0.4489795918367347,0.0038882301622479797,-0.0013578534172644652,1.1113494081200248,Watch,9,GOOGL,0.14285714285714285,15,Sample size below usable threshold,['30 <= sampleSize < 80']
Not Ready,flow20D percentile >= 90,Strong inflow percentile,10D,27,0.5185185185185185,0.0049633501754976946,0.010983794152294335,1.2071544186325123,Not Ready,7,GOOGL,0.25925925925925924,37,Insufficient sample size,['sampleSize < 30']
Not Ready,flow20D percentile >= 90,Strong inflow percentile,20D,12,0.6666666666666666,0.07737871302915775,0.0272708161092875,15.994856136330348,Not Ready,4,SMH,0.5833333333333334,52,Insufficient sample size,['sampleSize < 30']
Watch,flow20D percentile <= 10,Large outflow risk,1D,55,0.5272727272727272,0.011513691227415941,0.002219686727622072,2.0140603695726953,Watch,9,SOXL,0.12727272727272726,0,Sample size below usable threshold,['30 <= sampleSize < 80']
Watch,flow20D percentile <= 10,Large outflow risk,3D,53,0.6981132075471698,0.035173279441169644,0.029197052345843133,3.312229763258102,Watch,9,SOXL,0.1320754716981132,2,Sample size below usable threshold,['30 <= sampleSize < 80']
Watch,flow20D percentile <= 10,Large outflow risk,5D,52,0.7115384615384616,0.04617131126357199,0.028177746993464092,3.361823740877867,Watch,9,SOXL,0.1346153846153846,3,Sample size below usable threshold,['30 <= sampleSize < 80']
Watch,flow20D percentile <= 10,Large outflow risk,10D,49,0.6326530612244898,0.0614636534587068,0.058423638454544013,2.594249504641763,Watch,8,SOXL,0.14285714285714285,6,Sample size below usable threshold,['30 <= sampleSize < 80']
Watch,flow20D percentile <= 10,Large outflow risk,20D,49,0.6938775510204082,0.1440529526770163,0.15001900122895373,5.098798711422997,Watch,8,SOXL,0.14285714285714285,6,Sample size below usable threshold,['30 <= sampleSize < 80']
Candidate,at least 3 positive days in latest 5D,Persistent inflow,1D,302,0.5695364238410596,0.008983813357584344,0.005561055314629693,1.6283040515182503,Usable,9,SOXL,0.24503311258278146,0,Strong multi-horizon buy/long candidate,[]
Candidate,at least 3 positive days in latest 5D,Persistent inflow,3D,296,0.5540540540540541,0.024583684792401556,0.009045728052320845,2.072902214673216,Usable,9,SOXL,0.24324324324324326,6,Strong multi-horizon buy/long candidate,[]
Candidate,at least 3 positive days in latest 5D,Persistent inflow,5D,287,0.5679442508710801,0.04216845206199466,0.011506347286566188,2.6554292022822,Usable,9,SOXL,0.24390243902439024,15,Strong multi-horizon buy/long candidate,[]
Candidate,at least 3 positive days in latest 5D,Persistent inflow,10D,259,0.637065637065637,0.10581715635176467,0.03482666015624991,6.281103950890334,Usable,9,SOXL,0.25096525096525096,43,Strong multi-horizon buy/long candidate,[]
Candidate,at least 3 positive days in latest 5D,Persistent inflow,20D,200,0.69,0.25235960824805226,0.10887629797965892,9.531212610071037,Usable,9,SOXL,0.28,102,Strong multi-horizon buy/long candidate,[]
Watch,at least 4 positive days in latest 5D,Persistent inflow,1D,121,0.512396694214876,0.005456242226873476,0.0016683282063019167,1.341855382156776,Usable,9,SOXL,0.2809917355371901,0,Promising but below candidate guardrails,[]
Candidate,at least 4 positive days in latest 5D,Persistent inflow,3D,119,0.5210084033613446,0.02480388298214507,0.004926856938710644,1.952926517144359,Usable,9,SOXL,0.2857142857142857,2,Baseline buy/long candidate,[]
Candidate,at least 4 positive days in latest 5D,Persistent inflow,5D,116,0.5603448275862069,0.056319639444915824,0.007062689889865803,3.1066210286857125,Usable,9,SOXL,0.29310344827586204,5,Strong multi-horizon buy/long candidate,[]
Candidate,at least 4 positive days in latest 5D,Persistent inflow,10D,106,0.6415094339622641,0.12616511585709025,0.03475547791174527,7.273481685484856,Usable,9,SOXL,0.2830188679245283,15,Strong multi-horizon buy/long candidate,[]
Watch,at least 4 positive days in latest 5D,Persistent inflow,20D,75,0.76,0.3893148392586713,0.11484826587705022,16.764076629309233,Watch,8,SOXL,0.37333333333333335,46,Sample size below usable threshold,['30 <= sampleSize < 80']
Candidate,at least 7 positive days in latest 10D,Persistent inflow,1D,127,0.5433070866141733,0.012561750116177125,0.007505620335539476,1.7164677948104594,Usable,8,SOXL,0.3858267716535433,0,Baseline buy/long candidate,[]
Candidate,at least 7 positive days in latest 10D,Persistent inflow,3D,125,0.608,0.046038344229155426,0.020152374330577816,3.0537992300626544,Usable,8,SOXL,0.376,2,Strong multi-horizon buy/long candidate,[]
Candidate,at least 7 positive days in latest 10D,Persistent inflow,5D,119,0.6218487394957983,0.08382044591658959,0.03427755420954637,5.226214466326181,Usable,8,SOXL,0.37815126050420167,8,Strong multi-horizon buy/long candidate,[]
Candidate,at least 7 positive days in latest 10D,Persistent inflow,10D,102,0.7254901960784313,0.1921237276584376,0.1034255763170131,16.95959342834081,Usable,8,SOXL,0.4019607843137255,25,Strong multi-horizon buy/long candidate,[]
Watch,at least 7 positive days in latest 10D,Persistent inflow,20D,72,0.8472222222222222,0.5056302395751008,0.31427040011425367,76.39897661380982,Watch,7,SOXL,0.4861111111111111,55,Sample size below usable threshold,['30 <= sampleSize < 80']
Candidate,flow1D > 0 and flow3D > 0 and flow5D > 0,Persistent inflow,1D,188,0.5585106382978723,0.009560316602766624,0.0037633535939981533,1.6566265369063227,Usable,9,SOXL,0.28191489361702127,0,Strong multi-horizon buy/long candidate,[]
Candidate,flow1D > 0 and flow3D > 0 and flow5D > 0,Persistent inflow,3D,186,0.5591397849462365,0.0258452527040906,0.00972578163187332,2.0691347716946864,Usable,9,SOXL,0.27956989247311825,2,Strong multi-horizon buy/long candidate,[]
Candidate,flow1D > 0 and flow3D > 0 and flow5D > 0,Persistent inflow,5D,181,0.574585635359116,0.04372882683435085,0.008280720797259722,2.735832142733407,Usable,9,SOXL,0.27624309392265195,7,Strong multi-horizon buy/long candidate,[]
Candidate,flow1D > 0 and flow3D > 0 and flow5D > 0,Persistent inflow,10D,166,0.608433734939759,0.1090122349928504,0.027311678525513527,5.870831226440153,Usable,9,SOXL,0.28313253012048195,22,Strong multi-horizon buy/long candidate,[]
Candidate,flow1D > 0 and flow3D > 0 and flow5D > 0,Persistent inflow,20D,122,0.6967213114754098,0.27046794809167574,0.11082450784316689,9.679586254358306,Usable,9,SOXL,0.32786885245901637,66,Strong multi-horizon buy/long candidate,[]
Candidate,flow3D > 0 and flow5D > 0 and flow10D > 0,Persistent inflow,1D,208,0.5625,0.008805535967809388,0.004307370834055635,1.5455057181905711,Usable,9,SOXL,0.3269230769230769,0,Strong multi-horizon buy/long candidate,[]
Candidate,flow3D > 0 and flow5D > 0 and flow10D > 0,Persistent inflow,3D,206,0.587378640776699,0.031250337732616304,0.011323906129230399,2.4366425707223685,Usable,9,SOXL,0.32038834951456313,2,Strong multi-horizon buy/long candidate,[]
Candidate,flow3D > 0 and flow5D > 0 and flow10D > 0,Persistent inflow,5D,199,0.6030150753768844,0.05441478159732172,0.016150188893779394,3.51054373843662,Usable,9,SOXL,0.32160804020100503,9,Strong multi-horizon buy/long candidate,[]
Candidate,flow3D > 0 and flow5D > 0 and flow10D > 0,Persistent inflow,10D,180,0.7111111111111111,0.1404642226291704,0.06840033668163448,9.366339321387034,Usable,9,SOXL,0.3333333333333333,28,Strong multi-horizon buy/long candidate,[]
Candidate,flow3D > 0 and flow5D > 0 and flow10D > 0,Persistent inflow,20D,125,0.776,0.3497468659610444,0.16247604851158215,16.784962864334812,Usable,8,SOXL,0.408,83,Strong multi-horizon buy/long candidate,[]
Candidate,flow1D > 0 after prior 3D flow < 0,Reversal,1D,156,0.5705128205128205,0.009228031695259046,0.005791582844647314,1.727699173383929,Usable,9,RKLB,0.14102564102564102,0,Strong multi-horizon buy/long candidate,[]
Candidate,flow1D > 0 after prior 3D flow < 0,Reversal,3D,151,0.6357615894039735,0.027026117396980635,0.019514974258633577,2.3719429827408693,Usable,9,RKLB,0.1390728476821192,5,Strong multi-horizon buy/long candidate,[]
Candidate,flow1D > 0 after prior 3D flow < 0,Reversal,5D,147,0.673469387755102,0.04625601290849306,0.0235793160038944,3.4658423940143335,Usable,9,RKLB,0.1360544217687075,9,Strong multi-horizon buy/long candidate,[]
Candidate,flow1D > 0 after prior 3D flow < 0,Reversal,10D,140,0.6428571428571429,0.08001035939192588,0.03924228647661809,4.628839838423435,Usable,9,RKLB,0.1357142857142857,16,Strong multi-horizon buy/long candidate,[]
Candidate,flow1D > 0 after prior 3D flow < 0,Reversal,20D,124,0.6209677419354839,0.16416211015124804,0.10496570129368421,8.310886239122372,Usable,9,GOOGL,0.12903225806451613,32,Strong multi-horizon buy/long candidate,[]
Candidate,flow3D > 0 after prior 5D flow < 0,Reversal,1D,98,0.5714285714285714,0.008388352156237126,0.00490625738780992,1.7323759701408583,Usable,9,ORCL,0.14285714285714285,0,Strong multi-horizon buy/long candidate,[]
Candidate,flow3D > 0 after prior 5D flow < 0,Reversal,3D,96,0.59375,0.02209081691293858,0.021945955864446698,2.288470789650853,Usable,9,ORCL,0.14583333333333334,2,Strong multi-horizon buy/long candidate,[]
Candidate,flow3D > 0 after prior 5D flow < 0,Reversal,5D,93,0.6559139784946236,0.033095819588385575,0.01461652906705524,2.729752752946557,Usable,9,ORCL,0.15053763440860216,5,Strong multi-horizon buy/long candidate,[]
Candidate,flow3D > 0 after prior 5D flow < 0,Reversal,10D,87,0.5517241379310345,0.044558015943833844,0.01068397878809102,2.7607297818574708,Usable,9,ORCL,0.16091954022988506,11,Strong multi-horizon buy/long candidate,[]
Watch,flow3D > 0 after prior 5D flow < 0,Reversal,20D,76,0.6052631578947368,0.11574151021260977,0.09515615396131216,4.898895550613605,Watch,9,ORCL,0.18421052631578946,22,Sample size below usable threshold,['30 <= sampleSize < 80']
Watch,flow1D < 0 after prior 3D flow > 0,Reversal,1D,155,0.5290322580645161,0.003696893287387078,0.0015714372907364993,1.2497456394262383,Usable,9,SOXL,0.2,0,Outflow pattern did not behave as a clean reduce signal; review as confirmation only,[]
Watch,flow1D < 0 after prior 3D flow > 0,Reversal,3D,150,0.52,0.01295886838017046,0.003779500557376969,1.6082972396863628,Usable,9,SOXL,0.2,5,Outflow pattern did not behave as a clean reduce signal; review as confirmation only,[]
Watch,flow1D < 0 after prior 3D flow > 0,Reversal,5D,144,0.5625,0.027402120969706772,0.0083058585234278,2.065058259159348,Usable,9,SOXL,0.20833333333333334,11,Outflow pattern did not behave as a clean reduce signal; review as confirmation only,[]
Watch,flow1D < 0 after prior 3D flow > 0,Reversal,10D,131,0.6717557251908397,0.08730400714222111,0.02757143293108255,4.953603188225518,Usable,9,SOXL,0.21374045801526717,24,Outflow pattern did not behave as a clean reduce signal; review as confirmation only,[]
