signalGroup,category,forwardHorizon,sampleSize,winRate,avgReturn,medianReturn,maxReturn,minReturn,avgWinner,avgLoser,profitFactor,positiveReturnCount,negativeReturnCount,missingPriceRows,readyStatus,matchedSignalRows,totalSignalRows
flow20D percentile >= 70,Strong inflow percentile,1D,177,0.5819209039548022,0.009547561556822839,0.006106452319395217,0.20945195833403107,-0.30513899960432866,0.039670203819341956,-0.03237989997073755,1.7052750346894636,103,74,0,Usable,177,753
flow20D percentile >= 70,Strong inflow percentile,3D,164,0.5853658536585366,0.03823887498589495,0.016733080871525585,0.5022576806058359,-0.3145840032066832,0.09970167932173558,-0.04853214289999772,2.9002492693071114,96,68,13,Usable,177,753
flow20D percentile >= 70,Strong inflow percentile,5D,151,0.5894039735099338,0.060309526141903394,0.01620937074146389,0.6236558912365213,-0.23650402575884366,0.13739964888155906,-0.05035210166179587,3.917115141903976,89,62,26,Usable,177,753
flow20D percentile >= 70,Strong inflow percentile,10D,118,0.6440677966101694,0.11015772145272301,0.027368000829478434,0.7504105097168987,-0.12251889590343168,0.19263624104157276,-0.039089123517576506,8.917566662377423,76,42,59,Usable,177,753
flow20D percentile >= 70,Strong inflow percentile,20D,62,0.8064516129032258,0.328523466908598,0.16530444520550058,1.5492485518484824,-0.0757922997619278,0.41518094703474057,-0.03254936695032911,53.14759624310484,50,12,115,Watch,177,753
flow20D percentile >= 80,Strong inflow percentile,1D,120,0.5333333333333333,0.0038895511382841317,0.002051219354907041,0.18487613444005468,-0.30513899960432866,0.03782050275829876,-0.03488867928458973,1.2388956134221374,64,56,0,Usable,120,753
flow20D percentile >= 80,Strong inflow percentile,3D,109,0.5321100917431193,0.022246112995656542,0.004926856938710644,0.3137902806330477,-0.3145840032066832,0.08729013745688007,-0.05172552266612706,1.9191905968052432,58,51,11,Usable,120,753
flow20D percentile >= 80,Strong inflow percentile,5D,99,0.5353535353535354,0.04058951444564518,0.004798341391965,0.3501239343516098,-0.23650402575884366,0.12365041774405826,-0.05511109152861336,2.585083722895679,53,46,21,Usable,120,753
flow20D percentile >= 80,Strong inflow percentile,10D,69,0.6376811594202898,0.07078979179213851,0.02326360171917341,0.531653464858947,-0.12251889590343168,0.13603778025151658,-0.044046667896366826,5.435745873126947,44,25,51,Watch,120,753
flow20D percentile >= 80,Strong inflow percentile,20D,29,0.7931034482758621,0.25200213199594346,0.14140292891237527,1.3637041204035167,-0.05583820977556264,0.3233885745404783,-0.021645897758107102,57.26979847444188,23,6,91,Not Ready,120,753
flow20D percentile >= 90,Strong inflow percentile,1D,64,0.46875,-0.0013340525411431412,-0.0008026624251473713,0.18487613444005468,-0.30513899960432866,0.04198834957179429,-0.03955970146432322,0.9365223287448362,30,34,0,Watch,64,753
